"nombreLugar","networkIp","cidr","wanIp","wanCidr","wanIp1","wanIp2","wanBroadcast","enlace"
"Heredia, Sarapiqu?, El Roble, EBAIS El Roble.","10.70.142.0","24","192.168.40.224","30","","","","17302163"
"Sto Domingo, Sto Domingo. 200m este 200m norte de la Municipalidad, EBAIS Santa Rosa.","10.70.24.0","24","192.168.40.232","30","","","","17371040"
"Heredia, Santo Domingo, Los Angeles, EBAIS Los Angeles, diagonal a la escuela Cristobal Colón","10.70.29.0","24","192.168.40.236","30","","","","17306450"
"Alajuela, San Carlos, Ciudad Quesada, barrio el Carmen costado norte del hospital cooperativo, san Carlos Borromeo edificio Victoria, nuevo edificio del EBAIS de san Pablo ","10.150.4.0","24","192.168.40.24","30","","","","17343670"
"Heredia, Santo Domingo, San Luis, en el EBAIS de San Luis.","10.70.28.0","24","192.168.40.240","30","","","","17323200"
"Alajuela, San Carlos, Ciudad Quesada, Concepción, Contiguo a la Escuela de Concepción.EBAIS DE CONCEPCION
","10.150.10.0","24","192.168.40.28","30","","","","17343580"
"Alajuela, San Carlos, Ciudad Quesada, La Palmera, 150 m este de la Escuela La Palmera.","10.150.50.0","24","192.168.40.32","30","","","","17343710"
"San Jose, sobre av. 8 calle 14 y 16, Edificio Mireya, Control de Calidad y Proteccion Radiolica.","10.16.17.0","24","192.168.40.4","30","","","","17343750"
"Alajuela, San Carlos, Ciudad Quesada, 100 m norte y 100 m este de la iglesia católica, Sucre.","10.150.8.0","24","192.168.40.40","30","","","","17343730"
"Alajuela, San Carlos, Ciudad Quesada, 100 m norte del Hospital de San Carlos, Edificio de Farmacia, Odontologia.","10.150.52.0","24","192.168.40.44","30","","","","17343740"
"Alajuela, Grecia, San Isidro, costado sur de la Plaza de Deportes. EN EL EBAIS DE SAN ISIDRO.","10.70.99.0","24","192.168.40.48","30","","","","17374140"
"Alajuela, Grecia, San Roque, frente al costado sur de la iglesia católica.","10.70.102.0","24","192.168.40.56","30","","","","17374160"
"Alajuela, Grecia, Ric¿n de Salas, frente a la escuela.","10.70.101.0","24","192.168.40.72","30","","","","17367240"
"Alajuela, Ciudad Quesada,100 metros oeste, de la gasolinera Meco, 50 metros sur; mano derecha, en el Ebais de Ciudad Quesada","10.150.5.0","24","192.168.40.8","30","","","","17343680"
"San Jose, Puriscal, Centro de Pedernal, contiguo al CEN -CINAI","10.42.169.0","24","192.168.40.84","30","","","","17367270"
"San Jose, Puriscal, Barbacoas, costado norte de la iglesia.","10.42.118.0","24","192.168.40.88","30","","","","17367450"
"Heredia, Santa Barbara, 200 m norte carrtera a Birrí, EBAIS de Barrio Jesus.","10.70.169.0","24","192.168.40.92","30","","","","17367460"
"Heredia, Santa Barbara, 100 m norte de la esquina norte de la iglesia, EBAIS de San Pedro.","10.70.170.0","24","192.168.40.96","30","","","","17367200"
"ALAJUELA, PALMARES, ZARAGOZA, FRENTE A LA IGLESIA CATOLICA, RINCON DE ZARAGOZA.","10.70.118.0","24","192.168.41.100","30","","","","17374110"
"ALAJUELA, PALMARES, ESQUIPULAS, COSTADO NORTE DE LA PLAZA DE DEPORTES","10.70.114.0","24","192.168.41.116","30","","","","17384070"
"EBAIS SAN ANDRES, FRENTE A LA IGLESIA CATOLICA DE SAN ANDRES DE LEON CORTEZ.","10.42.76.0","24","192.168.41.12","30","","","","17300785"
"ALAJUELA, SAN CARLOS, CIUDAD QUESADA, 500 NORTE Y 100 OESTE DE LA IGLESIA CATOLICA DE CIUDAD QUESADA, ANTIGUO HOSPITAL.","10.11.5.0","24","192.168.41.120","30","","","","17385280"
"SAN JOSE DESAMPARADOS FRAILES SUCURSAL DE FRAILES, DESAMPARADOS, FRENTE A LA IGLESIA CATOLICA EN EL CENTRO COMERCIAL 2000","10.8.14.0","24","192.168.41.124","30","","","","17371500"
"SAN JOSE URUCA EN EL CENDEISSSS, DETRAS DEL HOSPITAL MEXICO CONGIUO A LA CLINICA OFTAMOLICA","10.82.1.0","24","192.168.41.132","30","","","","17341400"
"EBAIS LA GARITA DE ALAJUELA, COSTADO OESTE DE LA IGLESIA DE LA GARITA","10.70.56.0","24","192.168.41.136","30","","","","17382010"
"EBAIS DULCE NOMBRE DE LA GARITA, ALAJUELA EL INVU DE LA ESCUELA 100 OESTE Y 200 NORTE.","10.70.189.0","24","192.168.41.140","30","","","","17382430"
"EBAIS COYOL, SAN JOSE ALAJUELA, COSTADO ESTED E LA IGLESIA CATOLICA DEL COYOL.","10.70.49.0","24","192.168.41.144","30","","","","17382370"
"Ebais Pacto Jocote, Sn Jose, Alajuela los Jardines primera entrada de la panaderia la Espiga Real, 100 sur","10.70.47.0","24","192.168.41.152","30","","","","17349570"
"Ebais noreste, San Jose,Alajuela, costado sur de la escuela de Tuetal Sur.","10.70.190.0","24","192.168.41.156","30","","","","17382450"
"Ebais Cacao, San Jose, Alajuela, segunda entrada, contiguo al salon comunal de Cacao","10.70.53.0","24","192.168.41.160","30","","","","17382440"
"Ebais Tambor Alajuela de la iglesia catolica de Tambor 200 oeste","10.70.51.0","24","192.168.41.164","30","","","","17382400"
"Puntarenas, Cóbano, Contiguo a Encomiendas, local del fondo. CONTACTO EN SITIO Danny Jesus Murillo Rodríguez TEL 8311-2575","10.10.23.0","24","192.168.41.168","30","","","","17349800"
"Ebasi Carrillos Bajo, Carrillos Bajo de Poas, en el Centro Comercial Plaza Lourdes que está al frente de la Taberna o Pulpería Pavo Real.","10.70.54.0","24","192.168.41.172","30","","","","17301353"
"EBAIS SAN ANTONIO, COTIGUO AL MINISTERIO DE SALUD DE SAN ANTONIO DE BELEN","10.70.43.0","24","192.168.41.184","30","","","","17365740"
"Ebais Asuncion, de la esquina suroeste de la plaza de deporte o frente a la escuela de la Asuncion","10.70.45.0","24","192.168.41.188","30","","","","17380070"
"EBAIS DE BALTIMORE, MATINA, BALTIMORE, DE LA IGLESIA EVANGELICA LA PROFESIA, 100 OESTE.","10.50.30.0","24","192.168.41.192","30","","","","17340960"
"EBAIS DE ZENT Y CUBA CREECK, MATINA, CARRANDI, VENECIA, CONTIGUO AL COLEGIO DE VENECIA SOBRE LA RUTA 32","10.50.35.0","24","192.168.41.196","30","","","","17385960"
"Alajuela, San Ram¿n, 200 m este del Banco Nacional.","10.70.194.0","24","192.168.41.20","30","","","","17338140"
"50 ESTE DE LA OFICINA DEL ACUEDUCTO COMUNAL DE ZENT, EN ZENT NUEVO, MATINA, LIMON.","10.50.36.0","24","192.168.41.200","30","","","","17366241"
"A UN COSTADO DE LA CLINICA DE DAYTONIA","10.12.15.0","24","192.168.41.204","30","","","","17319130"
"Nueva dirección Alajuela, Los Chiles, Los Chiles, de la Delegación Policial 100 metros al norte y 50 metros al oeste. ","10.11.9.0","24","192.168.41.212","30","","","","17375380"
"ZARCERO ALFARO RUIZ FRENTE A LA CLINICA DE LA CCSS","10.11.3.0","24","192.168.41.216","30","","","","17393830"
"DE LA CLINICA 200 ESTE, 25 NORTE","10.10.10.0","24","192.168.41.220","30","","","","17382000"
"150 METROS ESTE DEL HOSPITAL UPALA FRENTE A LA ENTRADA EL VERDUN","10.10.20.0","24","192.168.41.224","30","","","","17340730"
"PEREZ ZELEDON, CONTIGUO A FEYMACO, DIAGONAL A LA CRUZ ROJA","10.13.15.0","24","192.168.41.228","30","","","","17385310"
"PUNTARENAS, COBANO EN EL MISMO TERRENO DE LA SUCURSAL DE COBANO, COSTADO SUR.
CLINICA DE COBANO.","10.90.35.0","24","192.168.41.232","30","","","","17370730"
"ALAJUELA NARANJO SAN MIGUEL OESTE, EBAIS SAN MIGUEL OESTE, DETRAS DE LA PLAZA DE DEPORTES, EN CALLE SIN SALIDA","10.70.135.0","24","192.168.41.236","30","","","","17338790"
"CARTAGO, CENTRAL, EL MOLINO, SUCURSAL DE CCSS, CARTAGO CONTIGUO A COOPESERVIDORES, 200 METROS ESTE DE LA ESQUINA SURESTE DEL BANCO CREDITO.","10.8.3.0","24","192.168.41.24","30","","","","17385400"
"SAN FRANCISCO DE DOS RIOS DE LA ESTACION DE SERVICIO LA PACIFICA 50 METROS NORTE","10.89.1.0","24","192.168.41.244","30","","","","17327670"
"LIMON POCOCI CARIARI, 100 OESTE DE PALI, CLINICA DEL DOLOR Y CUIDADOS PALIATIVOS.","10.50.93.0","24","192.168.41.248","30","","","","17389810"
"LIMON GUACIMO RIO JIMENEZ DIAGONAL A LA ESCUELA, VILLA FRANCA RIO JIMENEZ GUACIMO LIMON","10.50.62.0","24","192.168.41.252","30","","","","17334260"
"SAN JOSE, GOICOECHEA, PURRAL, EBAIS PURRAL, EL ALTO DE GUADALUPE, CONTIGUO AL COLEGIO MADRE DEL DIVINO PASTOR.","10.42.170.0","24","192.168.41.28","30","","","","17372830"
"ALAJUELA, TURRUCARES, DEL BANCO NACIONAL DE COSTA RICA 900 OESTE, LLEGANDO A LA ENTRADA DE VILLA CARENS, DE AH¿ 100 AL SUR CONTACTO Dr. RAMIREZ GONZALEZ TEL 24341065","10.70.50.0","24","192.168.41.32","30","","","","17388810"
"HEREDIA SAN ISIDRO EBAIS SAN JOSECITO, SAN ISIDRO DE HEREDIA COSTADO OESTE DE LA PLAZA DE DEPORTES","10.70.31.0","24","192.168.41.36","30","","","","17388890"
"San Jose, León Cortes, San Pablo, costado este de la Iglesia católica, EBAIS SAN PABLO, AS LOS SANTOS.","10.42.78.0","24","192.168.41.4","30","","","","17366190"
"HEREDIA SAN ISIDRO CONCEPCION, EBAS CONCEPCION SAN ISIDRO DE HEREDIA, COSTADO SUR DE LA IGLESIA Y COSTADO ESTE DE LA PLAZA DE DEPORTES","10.70.209.0","24","192.168.41.40","30","","","","17388880"
"SAN JOSE, CALLE BLANCOS, DEL COSTADO ESTE DE LA IGLESIA DE SAN FRANCISCO 25 MTS NORTE CONTIGUO AL EDIFICIO DEL CORREO.","10.42.174.0","24","192.168.41.48","30","","","","17374050"
"ALAJUELA, VALVERDE VEGA, SARCHI, EN EL EBAIS DE LA LUISA, FRENTE AL INGENIO DE LA LUISA.","10.70.179.0","24","192.168.41.52","30","","","","17342900"
"ALAJUELA, VALVERDE VEGA, SARCHI, EN EL EBAIS DE SAN PEDRO, SARCHI, VALVERDE VEGA, 50 SUR Y 50 OESTE DE LA IGLESIA.","10.70.180.0","24","192.168.41.56","30","","","","17332760"
"Alajuela, Sarch¿, Rodr¿guez, San Juan, detr¿s de la Escuela. Contacto en sitio Alejandro S¿nchez Castro Tel 62852763 / 24541260
","10.70.174.0","24","192.168.41.60","30","","","","17346151"
"NUEVA FARMACIA DEL AREA DE SALUD DE PEREZ ZELEDON, SAN ISIDRO, BARRIO SAN RAFAEL, del Bar el Uno m¿s, 100 metros al noroeste, detras de Mayca.","10.130.61.0","24","192.168.41.64","30","","","","17396260"
"Ebais Carrillos Alto, Alajuela, contiguo a la escuela de Carrillos Alto","10.70.55.0","24","192.168.41.68","30","","","","17382390"
"GUANACASTE, CARMONA, NANDAYURE, FRENTE A LA CENTRAL TELEFONICA DEL INCE SUCURSAL CCSS","10.10.15.0","24","192.168.41.72","30","","","","17339660"
"LIMON, POCOCI, CARIARI, EN EL EBAIS DE PALMITAS, COSTADO ESTE DE LA PLAZA DE DEPORTES.","10.50.86.0","24","192.168.41.76","30","","","","17396170"
"San Jose, Tarraz¿, San Marcos, costado oeste de la Iglesia, EBAIS San Lorenzo.","10.42.81.0","24","192.168.41.8","30","","","","17366200"
"PUNTARENAS, PAQUERA FRENTE A  LA CRUZ ROJA, DENTRO DE LAS INSTALACIONES DE LA CLINICA DE PAQUERA","10.10.22.0","24","192.168.41.80","30","","","","17345980"
"COMUNIDAD DE CAHUITA 200 OESTE DEL BCR, EBAIS CAHUITA","10.50.3.0","24","192.168.41.84","30","","","","17369840"
"ALAJUELA, PALMARES, LA GRANJA, 300 OESTE Y 25 SUR DE LA ESCUELA DE LA GRANJA.EN EL EBAIS LA GRANJA. CONTACTO CCSS GUILLERMO XIRINACHS SALAZAR TEL 24520343 EXT 273","10.70.121.0","24","192.168.41.96","30","","","","17384040"
"LIMON GUACIMO RIO JIMENEZ, 100 NORTE DE LA ESTACION DE COMBUSTIBLE RIO JIMENEZ GUACIMO. EBAIS RIO JIMENEZ ","10.50.60.0","24","192.168.42.0","30","","","","17338870"
"EN EL NUEVO LOCAL DEL EBAIS DE SAN CARLOS DE TARRAZU, FRENTE AL ACTUAL EDIFICIO.DE LA ESCUELA DE LA LOCALIDAD 25MTS AL ESTE Y 10MTS OESTE","10.42.82.0","24","192.168.42.100","30","","","","17383070"
"EN EL EBAIS SAN JERONIMO DE TARRAZU, FRENTE A LA ESCUELA DE SAN JERONIMO","10.42.179.0","24","192.168.42.104","30","","","","17358690"
"COSTADO OESTE DE LA PLAZA DE DEPORTES DEL CENTRO DE POBLACION DE RIO GRANDE, EBAIS DE RIO GRANDE.","10.90.4.0","24","192.168.42.108","30","","","","17327470"
"FRENTE A LA PLAZA DE DEPORTE QUE ESTA EN LA ENTRADA DEL COLEGIO, SANTA TERESA DE COBANO, EBAIS DE SANTA TERESA
","10.90.37.0","24","192.168.42.112","30","","","","17380080"
"EN EL EBAIS DE HORQUETAS DE SARAPIQUI, 200MTS ESTE DE LA ESCUELA.","10.70.167.0","24","192.168.42.12","30","","","","17375860"
"CARTAGO, LA UNION, TRES RIOS CENTRO, DE LA MUSSMANI 125MTS SUR, A MANO DERECHA CONTIGUO A LA UNIDAD SANITARIA.","10.42.181.0","24","192.168.42.128","30","","","","17354870"
"100MTS OESTE DEL COSTADO SUR DEL PARQUE DE GUADALUPE (ANTIGUA SEDE DEL MINISTERIO DE SALUD)","10.42.182.0","24","192.168.42.132","30","","","","17307140"
"EN EBAIS INVU 1, INVU ALAJUELA, CONTIGUO A LA IGLESIA CATOLICA.","10.70.155.0","24","192.168.42.140","30","","","","17342220"
"EN EBAIS INVU 2 Y 3 DE CEMACO 250MTS SUR, CONTIGUO AL PUENTE DE RIO CIRUELAS INVU ALAJUELA. CONTACTO EN SITIO YAHAIRA CHAVES TEL 87086493 LLAMAR ANTES PARA COORDINAR VISITA Y ACCESO","10.70.156.1","24","192.168.42.144","30","","","","17300569"
"GUANACASTE TILARAN NUEVO ARENAL, EN LA SUCRUSAL DE LA CCSS EN NUEVO ARENAL, CONTIGUO A LAS OFICINAS DEL ICE EN NUEVO ARENAL TILARAN","10.10.17.0","24","192.168.42.148","30","","","","17312990"
"EN EL EBAIS PORVENIR DE SIQUIRRES DE LIMON, FRENTE A LA ESCUELA EL PORVENIR.","10.50.87.0","24","192.168.42.156","30","","","","17384110"
"EBAIS NAZARETH, BARRIO NAZARETH 2 KM OESTE DEL CRUCE PERDIZ, CENTRO SOCIAL EL JORON","10.50.99.0","24","192.168.42.16","30","","","","17302952"
"EN EL EBAIS DE BARRA DEL COLORADO SUR, CARIARI, POCOCI, LIMON 75MTS SURESTE DE LA ESCUELA DE BARRA DEL COLORADO SUR.","10.50.101.0","24","192.168.42.160","30","","","","17368700"
"EN EL EBAIS DE BARRA DEL PARISMINA, SIQUIRRES, LIMON 50MTS ESTE DE LAS TORRES DEL ICE.","10.50.52.0","24","192.168.42.164","30","","","","17368790"
"EN EL EBAIS DE ESTRADA, COSTADO ESTE DEL PARQUE DE ESTRADA, MATINA LIMON","10.50.54.0","24","192.168.42.168","30","","","","17309650"
"EN EL EBAIS DE MATINA, LIMON, FRENTE AL PARQUE DE MATINA.","10.50.29.0","24","192.168.42.172","30","","","","17369940"
"EN EL EBAIS DE ISLONA-LOS ANGELES, SIQUIRRES, LIMON, BARRIO SAN RAFAEL, COSTADO SUR DE LA PLAZA DE DEPORTES, CARRETERA A CAÑO BLANCO 1KMT NORTE DE LA ESCUELA.","10.50.38.0","24","192.168.42.188","30","","","","17369750"
"EN EL EBAIS DE LIMBO, POCOCI, LIMON, EN EL CENTRO DE LIMBO","10.50.73.0","24","192.168.42.192","30","","","","17369120"
"EN EL EBAIS DE SANTA ROSA, CARIARI, POCOCI, LIMON, EN EL CENTRO DE LA COMUNIDAD DE SANTA ROSA.","10.50.61.0","24","192.168.42.196","30","","","","17381410"
"CARIARI EN EL EBAIS DE PALERMO FRENTE A LA ESCUELA.","10.50.96.0","24","192.168.42.20","30","","","","17366530"
"EN EL EBAIS DE BRIBRI, TALAMANCA, LIMON, EN LA COMUNICAD DE BRIBRI A UN COSTADO DE LA FUERZA PUBLICA.","10.50.6.0","24","192.168.42.200","30","","","","17382980"
"EN EL EBAIS DE SANTA ROSA, TURRIALBA, CARTAGO, CRUCE ENTRE AQUIARES Y SANTA CRUZ, EDIFICIO ESQUINERO A MANO DERECHA DE COLOR AMARILLO.","10.42.139.0","24","192.168.42.204","30","","","","17300117"
"EN EL EBAIS DE SABANILLA DE ALAJUELA, DE LA ENTRADA PRINCIPAL A SABANILLA 100MTS A LA DERECHA.","10.75.4.0","24","192.168.42.212","30","","","","17374190"
"EN EL NUEVO EBAIS DE CIMARRONES, 150MTS SUR de la Escuela de Cimarrones sobre la ruta 32, de Siquirres Centro 9 KM sentido hacia Lim¿n.","10.50.51.0","24","192.168.42.220","30","","","","17357440"
"EN EL EBAIS DE EL CARMEN SIQUIRRES, LIMON, DIAGONAL A LA CRUZ ROJA.","10.50.39.0","24","192.168.42.224","30","","","","17387870"
"EN EL EBAIS DE SAN ALBERTO, SIQUIRRES, LIMON,200MTS NORTE DE LA PLAZA DE DEPORTES FRENTE A OFICINAS DE COBAL.","10.50.41.0","24","192.168.42.228","30","","","","17357330"
"EN EL EBAIS DE LA ALEGRIA, SIQUIRRES, LIMON, 16KMTS SUR DEL CENTRO DE SIQUIRRES, CARRETERA SIQUIRRES-TURRIALBA, LA ALEGRIA 25 ESTE DE LA IGLESIA CATOLIICA","10.50.104.0","24","192.168.42.232","30","","","","17368730"
"EN EL EBAIS DE EL PEJE, SIQUIRRES, LIMON 50MTS OESTE DE LA ESCUELA DE EL PEJE.","10.50.102.0","24","192.168.42.236","30","","","","17357600"
"BARRAS DEL TORTUGUERO, FRENTE A LA PLANTA DE RECICLAJE, A UN COSTADO DE LA PLAZA DE DEPORTES.","10.50.77.0","24","192.168.42.24","30","","","","17367160"
"EN EL EBAIS DE LA PERLA, SIQUIRRES, LIMON, FRENTE A LA PLAZA DE FUTBOL DE LA PERLA.","10.50.48.0","24","192.168.42.240","30","","","","17368520"
"EN EL EBAIS DE EL CAIRO, SIQUIRRES, LIMON, 300MTS OESTE DE LA ENTRADA PRINCIPAL DE EL CAIRO, 50MTS NORTE DEL TALLER ROCKY.","10.50.49.0","24","192.168.42.244","30","","","","17368690"
"EN EL EBAIS DE VALLE DE LA ROSAS, VALLE DE LA ESTRELLA, LIMON, FRENTE A LA ESCUELA DE VALLE DE LAS ROSAS.","10.50.14.0","24","192.168.42.248","30","","","","17367630"
"CLÍNICA DE CAÑAS, DIAGONAL AL CEMENTERIO DE CAÑAS, GUANACASTE","10.30.120.0","24","192.168.42.28","30","","","","17368560"
"CHACARITA EN EL EBAIS DE FRAY CASIANO, CONTIGUO A LA ANTIGUA PLAZA DE LOS TANQUES.","10.90.77.0","24","192.168.42.32","30","","","","17367000"
"EDIFICIO NUEVO DEL EBAIS PURRAL, EL ALTO DE GUADALUPE, 100MTS ESTE DE LA IGLESIA CATOLICA DE PURRAL ABAJO, CONTIGUO A LA ASOCIACION DE JOVENES.","10.42.175.0","24","192.168.42.36","30","","","","17366470"
"CENTRO NACIONAL DE RESONANCIA MAGNETICA, CONTIGUO AL HOSPITAL CALDERON GUARDIA","10.16.7.0","24","192.168.42.4","30","","","","17366750"
"COSTADO OESTE DE LA ESCUELA DE SAN BLAS, EL CARMEN EN CARTAGO.","10.42.177.0","24","192.168.42.40","30","","","","17370780"
"DIAGONAL A LA GASOLINERA TEXACO EN LA LIMA, 100 MTS OESTE DEL PUENTE LOS GEMELOS","10.42.39.0","24","192.168.42.44","30","","","","17300366"
"EBAIS ORIENTE 1 Y 2,50MTS OESTE DEL COSTADO SURESTE DE LOS TRIBUNALES DE CARTAGO. CONTACTO EN SITIO GUSTAVO AZOFEIFA TEL 72257372","10.42.36.0","24","192.168.42.48","30","","","","17375090"
"150 MTS OESTE DE LA IGLESIA DE CABALLO BLANCO, CARTAGO.","10.42.41.0","24","192.168.42.52","30","","","","17375020"
"CARTAGO BARRIO PITHAYA 100 NORTE DE LA PLAZA DE DEPORTES TELEFONO DE GUSTAVO AZOFEIFA 72257372","10.42.42.0","24","192.168.42.56","30","","","","17371130"
"AREA DE SALUD DE AGUA CALIENTE, 25 NORTE Y 25 OESTE DE LA IGLESIA DE AGUA CALIENTE DE CARTAGO","10.42.45.0","24","192.168.42.60","30","","","","17300265"
"FRENTE AL GIMNASIO CLAUDIO HOOP, LOURDES DE CARTAGO.","10.42.47.0","24","192.168.42.64","30","","","","17361220"
"EN EL EBAIS MANUEL DE JES, 250 MTS AL SUR ANTIGUO MATADERO, CARTAGO","10.42.46.0","24","192.168.42.68","30","","","","17374070"
"50MTS ESTE DE LA PLAZA DE DEPORTES DE DULCE NOMBRE EN CARTAGO.","10.42.48.0","24","192.168.42.72","30","","","","17385210"
"Cartago, Los Angeles, de Oterox Pizza 50m Norte.","10.42.176.0","24","192.168.42.76","30","","","","17368470"
"COSTADO ESTE DE LA SUCURSAL DE LA CCSS EN BUENOS AIRES, PUNTARENAS.","10.130.44.0","24","192.168.42.8","30","","","","17350800"
"EN EL EBAIS DE SAN ISIDRO DE LEON CORTES, 100MTS AL NORTE DE LA IGLESIA CATOLICA CONTIGUO AL CENTRO DE NUTRICION","10.42.74.0","24","192.168.42.92","30","","","","17340670"
"EN EL EBAIS DE LLANO BONITO DE LEON CORTES, DEL TEMPLO CATOLICO 100MTS NORTE, CAMINO A SAN FRANCISCO","10.42.73.0","24","192.168.42.96","30","","","","17386360"
"EN EL EBAIS DE LIMON 2000, CONTIGUO AL ANTIGUO PERIFERICO BCO POPULAR.","10.50.103.0","24","192.168.45.0","30","","","","17369920"
"ALAJUELA, UPALA, EN EL EBAIS DE VILLA NUEVA UBICADO A UN COSTADO DE LA ESCUELA DE LA COMUNIDAD.","10.30.101.0","24","192.168.45.100","30","","","","17321130"
"PUNTARENAS ESPARZA, EN EL EBAIS DE NANCES UBICADO CONTIGUO A LA PLAZA DE DEPORTES","10.90.107.0","24","192.168.45.112","30","","","","17394840"
"EBAIS CORINA RODRIGUEZ, DEL COSTADO OESTE DE LA PLAZA 75MTS NORTE.","10.42.193.0","24","192.168.45.120","30","","","","17397220"
"PUNTARENAS, CENTRAL, GUACIMAL, EN EL EBAIS DE GUACIMAL UBICADO AL COSTADO DE LAS CABINAS EL SUEÑO.","10.90.71.0","24","192.168.45.132","30","","","","17306461"
"EN EL EBAIS DE AMUBRI, TALAMANCA, LIMON. EN LA COMUNIDAD DE AMUBRI, A UN COSTADO DE LA IGLESIA CATOLICA","10.50.4.0","24","192.168.45.140","30","","","","17311790"
"EN EL EBAIS DE SURETKA, TALAMANCA, LIMON. EN EL LA COMUNIDAD DE SURETKA, FRENTE A OFICINAS DE ADITIBRI","10.50.5.0","24","192.168.45.144","30","","","","17310520"
"EN EL EBAIS DE MARGARITA, TALAMANCA LIMON. EN LA COMUNIDAD DE MARGARITA, BARRIO LA SUIZA","10.50.9.0","24","192.168.45.148","30","","","","17310820"
"EN EL EBAIS DE SAN RAFAEL DE GUAPILES. DEL SUPER SAN MIGUEL 75 NORTE Y 25 ESTE POR EL COLEGIO","10.50.69.0","24","192.168.45.152","30","","","","17310830"
"EN EL EBAIS DE BAMBU, TALAMANCA, LIMON. CONTIGUO HOGAR DE ANCIANOS","10.50.105.0","24","192.168.45.156","30","","","","17317331"
"PALMAR NORTE, EDIFICIO ANEXO DEL AS DE OSA 100MTS ESTE DEL COLEGIO DE PALMAR NORTE, ANTIGUAS INSTALACIONES DE LA CERVECERIA DE COSTA RICA.","10.130.64.0","24","192.168.45.16","30","","","","17354160"
"ALAJUELITA ANTIGUA CEDE DEL AREA DE SALUD, COSTADO NORTE DE LA IGLESIA CATOLICA.","10.42.12.0","24","192.168.45.20","30","","","","17357740"
"EN EL EBAIS DE KATSI, TALAMANCA LIMON. EN EL CENTRO DE LA COMUNIDAD","10.50.106.0","24","192.168.45.200","30","","","","17315981"
"EN EL EBAIS DE GUADALUPE CENTRO,CARTAGO CENTRAL, GUADALUPE, 100 METROS NORTE Y 200 OESTE DE LA GUARDIA RURAL","10.42.194.0","24","192.168.45.204","30","","","","17309630"
"EN EL EBAIS DE TEJAR Y BARRIO NUEVO, CARTAGO GUARCO TEJAR FRENTE AL COSTADO NORTE COLEGIO ELIAS LEIVA","10.42.55.0","24","192.168.45.208","30","","","","17307180"
"EN EL EBAIS DE QUEBRADILLA, CARTAGO, 200 METROS OESTE Y 25 METROS SUR COSTADO NORTE DEL PARQUE","10.42.61.0","24","192.168.45.212","30","","","","17307730"
"EN EL EBAIS DE SALITRILLOS, ASERRI, DIAGONAL A LA PLAZA DE DEPORTES ","10.42.29.0","24","192.168.45.216","30","","","","17316900"
"EN EL EBAIS DE LA JOYA, 300 M NORTE DE LA ESQUINA NOROESTE DEL PARQUE DE PARAISO, EDIFICIO COLOR AMARILLO CON CORTINAS DE HIERRO COLOR VERDE ESQUINERO A MANO IZQUIERDA","10.42.102.0","24","192.168.45.220","30","","","","17316780"
"EN EL EBAIS OROSI, PARAISO, CARTGO, 50 M OESTE DEL ALMACEN LA COLONIAL, COSTADO NORTE DE LA PLAZA DE DEPORTES DE OROSI","10.42.106.0","24","192.168.45.224","30","","","","17316800"
"EN EL EBIAS DE CERVANTES, PARAISO, CARTAGO, 100 M NORTE 50 M OESTE 50 M NORTE DE LA IGLESIA CATOLICA DE CERVANTES","10.42.111.0","24","192.168.45.228","30","","","","17316810"
"SANTA ELENA, EN EL EBAIS DE SANTA ELENA, AL COSTADO SUR DE LA PLAZA DE DEPORTES","10.42.157.0","24","192.168.45.232","30","","","","17316820"
"EN EL EBAIS DE GAVILAN CANTA, TALAMANCA, LIMON EN EL CENTRO DE LA COMUNIDAD. EBAIS DE ChinaKicha.","10.50.107.0","24","192.168.45.236","30","","","","17316720"
"EN EL EBAIS DE BELEN, CARRILLO, 150MTS ESTE DEL COSTADO SUR DE LA IGLESIA.","10.30.83.0","24","192.168.45.252","30","","","","17306462"
"EN LA CLINICA DE CORONADO, SAN ISIDRO DE CORONADO, CARRETERA PRINCIPAL CONTIGUO AL IICA","10.4.0.0","16","192.168.45.28","30","","","","17395080"
"EBAIS PATARRA, DESAMPARADOS, PATARRA 50M ESTE DEL CEMENTERIO DE PATARRA.


","10.42.185.0","24","192.168.45.36","30","","","","17362310"
"EN EL EBAIS DE LIVERPOOL, LIMON.","10.50.25.0","24","192.168.45.4","30","","","","17381590"
"EBAIS FATIMA, DESAMPARADOS, DAMAS, 100MTS SUR Y 25MTS ESTE DE LA ESCUELA.","10.42.186.0","24","192.168.45.40","30","","","","17319750"
"SAN JOSE, DESAMPARADOS, DAMAS, DOS CERCAS DETRÁS DEL SALON COMUNAL, EN EL NUEVO EBAIS DE DOS CERCAS","10.42.187.0","24","192.168.45.44","30","","","","17329351"
"EBAIS SAN LORENZO, DESAMPARADOS, DAMAS 50MTS NORTE DEL ABASTECEDOR SAN LORENZO.","10.42.188.0","24","192.168.45.48","30","","","","17361890"
"EBAIS RIO AZUL, LA UNION RIO AZUL, EN LAS INSTALACIONES DE LA ASOCIACION DE DESRROLLO COMUNAL, CONTIGUO A LA PLAZA DE DEPORTES Y ESCUELA DE LA LOCALIDAD.","10.42.189.0","24","192.168.45.52","30","","","","17319480"
"EBAIS LINDA VISTA, LA UNION RIO AZUL, CONTIGUO A LA CAPILLA DE VELACION DE LA IGLESIA CATOLICA.","10.42.190.0","24","192.168.45.56","30","","","","17362690"
